WebSocket LTT (ms): 1753243196595 | Human: 09:29:56.595 | LTP: 319.65 | Latency: 625ms | Socket Timing :09:29:56.595 | Current Timing :09:29:57.220
WebSocket LTT (ms): 1753243196428 | Human: 09:29:56.428 | LTP: 414.8 | Latency: 792ms | Socket Timing :09:29:56.428 | Current Timing :09:29:57.220
WebSocket LTT (ms): 1753243197094 | Human: 09:29:57.094 | LTP: 321.15 | Latency: 298ms | Socket Timing :09:29:57.094 | Current Timing :09:29:57.392
WebSocket LTT (ms): 1753243197093 | Human: 09:29:57.093 | LTP: 413.05 | Latency: 301ms | Socket Timing :09:29:57.093 | Current Timing :09:29:57.394
WebSocket LTT (ms): 1753243197093 | Human: 09:29:57.093 | LTP: 421.0 | Latency: 303ms | Socket Timing :09:29:57.093 | Current Timing :09:29:57.396
WebSocket LTT (ms): 1753243196946 | Human: 09:29:56.946 | LTP: 313.45 | Latency: 452ms | Socket Timing :09:29:56.946 | Current Timing :09:29:57.398
WebSocket LTT (ms): 1753243197316 | Human: 09:29:57.316 | LTP: 420.9 | Latency: 223ms | Socket Timing :09:29:57.316 | Current Timing :09:29:57.539
WebSocket LTT (ms): 1753243197287 | Human: 09:29:57.287 | LTP: 313.05 | Latency: 399ms | Socket Timing :09:29:57.287 | Current Timing :09:29:57.686
WebSocket LTT (ms): 1753243197316 | Human: 09:29:57.316 | LTP: 420.9 | Latency: 1171ms | Socket Timing :09:29:57.316 | Current Timing :09:29:58.487
WebSocket LTT (ms): 1753243198031 | Human: 09:29:58.031 | LTP: 313.0 | Latency: 456ms | Socket Timing :09:29:58.031 | Current Timing :09:29:58.487
WebSocket LTT (ms): 1753243197492 | Human: 09:29:57.492 | LTP: 320.8 | Latency: 1010ms | Socket Timing :09:29:57.492 | Current Timing :09:29:58.502
WebSocket LTT (ms): 1753243198198 | Human: 09:29:58.198 | LTP: 414.2 | Latency: 304ms | Socket Timing :09:29:58.198 | Current Timing :09:29:58.502
WebSocket LTT (ms): 1753243198553 | Human: 09:29:58.553 | LTP: 420.4 | Latency: 326ms | Socket Timing :09:29:58.553 | Current Timing :09:29:58.879
WebSocket LTT (ms): 1753243198565 | Human: 09:29:58.565 | LTP: 313.95 | Latency: 314ms | Socket Timing :09:29:58.565 | Current Timing :09:29:58.879
WebSocket LTT (ms): 1753243199075 | Human: 09:29:59.075 | LTP: 417.45 | Latency: 259ms | Socket Timing :09:29:59.075 | Current Timing :09:29:59.334
WebSocket LTT (ms): 1753243199093 | Human: 09:29:59.093 | LTP: 315.6 | Latency: 241ms | Socket Timing :09:29:59.093 | Current Timing :09:29:59.334
WebSocket LTT (ms): 1753243199184 | Human: 09:29:59.184 | LTP: 317.1 | Latency: 291ms | Socket Timing :09:29:59.184 | Current Timing :09:29:59.475
